Run ID,Player ID,Place,Speedrun Time,Verified,Examiner ID,Platform ID,Platform Name,Category ID,Category Name,Player Name,Player Country,Player Pronouns
zgpl02vz,jm3m40y8,101,15.5,TRUE,x3qmp56j,gde3xgek,iOS,zd3l938d,Coins,Caioulvt,br,Not Mentioned
y88o5p1y,8eklwv28,101,15.5,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Yugii,br,Not Mentioned
y4xvlqdz,8ewep568,101,15.5,TRUE,8l0qwkr8,lq60nl94,Android,zd3l938d,Coins,Emanuel_PS4_celular,Not Mentioned,Not Mentioned
y2ppe9jz,8gmz3d28,106,15.517,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,MrDoguinho,Not Mentioned,Not Mentioned
zp9gx5xm,8ek5d578,106,15.517,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Pudz,Not Mentioned,Not Mentioned
m3r9nrqm,x7q5dlr8,108,15.533,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,UltraSword,Not Mentioned,Not Mentioned
y880djdy,8ekekl68,108,15.533,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,SaaSZone,br,Not Mentioned
yddgve0y,x331nkkx,108,15.533,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,heitorpires,br,He/Him
zq784n8m,jn276k2j,108,15.533,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Daco19,us,He/Him
y60vvrjy,8dg5kmg8,108,15.533,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Bfee,Not Mentioned,Not Mentioned
yw3x6l9m,866mdr08,108,15.533,TRUE,xko3ro68,lq60nl94,Android,zd3l938d,Coins,gkvoid,br,He/Him
zq7ovq8m,81q0393j,108,15.533,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Dinervc,ch,He/Him
m3xdl4wm,x76gd06j,108,15.533,TRUE,x33ew0ex,lq60nl94,Android,zd3l938d,Coins,Benicinnxxx,br,He/Him
y88gdxwy,j23lre6x,116,15.534,TRUE,x3qmp56j,lq60nl94,Android,zd3l938d,Coins,Lndzin,Not Mentioned,Not Mentioned
y863wwwm,j9pnz4wx,117,15.55,TRUE,48g7zm18,gde3xgek,iOS,zd3l938d,Coins,GatorFator,Not Mentioned,Not Mentioned
zq12w3rm,xz7r0oej,118,15.567,TRUE,j2yo7mo8,lq60nl94,Android,zd3l938d,Coins,rodeoclown,us,They/Them
zp8en7vy,j42g6ovx,118,15.567,TRUE,8l4n3klj,lq60nl94,Android,zd3l938d,Coins,emerz34,au,Not Mentioned
yjpopxdy,jpokrky8,118,15.567,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,JANGAH_BR,br,He/Him
znpg4qlm,81k59prj,118,15.567,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Edzn,Not Mentioned,Not Mentioned
zx759qqy,81k20vlj,118,15.567,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Marcelo18,Not Mentioned,Not Mentioned
mkk606vm,x7w4kgr8,118,15.567,TRUE,8l0qwkr8,lq60nl94,Android,zd3l938d,Coins,FBZIM,Not Mentioned,Not Mentioned
yv0g67oz,866023p8,118,15.567,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,caiozin22,Not Mentioned,He/Him
z5p1ld5m,j9rz947j,118,15.567,TRUE,jo3p227j,gde3xgek,iOS,zd3l938d,Coins,sxftlxcked,au,He/Him
ydjeq5wy,jnp11ld8,126,15.583,TRUE,pj0o1g4j,gde3xgek,iOS,zd3l938d,Coins,TheMythical5323,Not Mentioned,Not Mentioned
yl7r0enm,j23qd27x,127,15.6,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,WallacyBonfim,br,He/Him
znp7919m,866ry158,127,15.6,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,RafaRLG,pt,He/Him
zp99288m,8l3zqdv8,127,15.6,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,MeNameDuckfeet,Not Mentioned,Not Mentioned
y88wxwxy,jm3q0me8,127,15.6,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Pedrovzin78,Not Mentioned,Not Mentioned
zgpo70dz,xym071mx,127,15.6,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,MiusoYT,br,Not Mentioned
